Redmine_id,modify_code
7143,
7074,
6956,
6133,
7751,1.0
7580,1.0
7571,1.0
7413,1.0
8379,2.0
8148,4.0
5061,4.0
8268,
5760,1.0
8341,
7205,
8349,
8327,
7157,
7599,1.0
6977,1.0
8329,2.0
8328,2.0
7722,2.0
7114,2.0
8063,3.0
8221,1.0
8164,1.0
8126,1.0
7991,1.0
7969,1.0
7732,1.0
7134,1.0
7081,1.0
7078,1.0
5993,1.0
8177,2.0
8034,2.0
7708,2.0
7530,2.0
7706,3.0
8400,1.0
8399,1.0
8398,1.0
8397,1.0
8396,1.0
8395,1.0
8262,1.0
8234,1.0
8117,1.0
7632,1.0
8330,2.0
7989,2.0
7604,2.0
8244,3.0
7784,
7674,
7942,2.0
7718,2.0
7453,3.0
7213,
7002,
8180,1.0
8161,1.0
8384,2.0
8226,1.0
8404,1.0
8402,2.0
8377,1.0
8305,1.0
8252,1.0
8005,1.0
8111,1.0
8346,2.0
8422,1.0
8475,1.0
8469,2.0
8316,2.0
8408,2.0
8464,2.0
8375,1.0
8488,2.0
8292,1.0
8844,2.0
8502,2.0
8860,1.0
8846,2.0
8865,3.0
8855,1.0
8850,1.0
8417,1.0
8232,1.0
8303,1.0
8476,1.0
